repeat,item_id,split,label,arm,decision,correct,error,knowledge_hash
0,m1_4f1dedd311d191d0,dev,avoid_trade,A,maintain_long,0,a_arm_must_have_empty_refs,
0,m1_4f1dedd311d191d0,dev,avoid_trade,B,increase_long,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_e7909fac2014a737,dev,avoid_trade,A,increase_long,0,a_arm_must_have_empty_refs,
0,m1_e7909fac2014a737,dev,avoid_trade,B,maintain_long,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_816fce95e184377b,dev,short_bias,A,avoid_trade,0,a_arm_must_have_empty_refs,
0,m1_816fce95e184377b,dev,short_bias,B,avoid_trade,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_e23dad5dc28d8309,dev,short_bias,A,avoid_trade,0,a_arm_must_have_empty_refs,
0,m1_e23dad5dc28d8309,dev,short_bias,B,avoid_trade,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_2701897141d2902c,dev,short_bias,A,maintain_long,0,wrong_action,
0,m1_2701897141d2902c,dev,short_bias,B,maintain_long,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_8f2d4433742c347a,dev,avoid_trade,A,maintain_long,0,a_arm_must_have_empty_refs,
0,m1_8f2d4433742c347a,dev,avoid_trade,B,maintain_long,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_be4dca564e6cce48,dev,avoid_trade,A,avoid_trade,0,a_arm_must_have_empty_refs,
0,m1_be4dca564e6cce48,dev,avoid_trade,B,reduce_exposure,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_24e7a6b59ee3ba42,dev,avoid_trade,A,avoid_trade,0,a_arm_must_have_empty_refs,
0,m1_24e7a6b59ee3ba42,dev,avoid_trade,B,reduce_exposure,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_1b80d6116c181be8,dev,avoid_trade,A,reduce_exposure,0,a_arm_must_have_empty_refs,
0,m1_1b80d6116c181be8,dev,avoid_trade,B,avoid_trade,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_5485c8a80fbb9c48,dev,increase_long,A,reduce_exposure,0,a_arm_must_have_empty_refs,
0,m1_5485c8a80fbb9c48,dev,increase_long,B,avoid_trade,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
